algo,rho
GAMLSS,-0.1378904809341533
GAMLSS,0.07784690586041386
GAMLSS,0.05056751453178246
GAMLSS,0.16967575539790464
GAMLSS,0.24400769311888276
GAMLSS,-0.06909339753313525
GAMLSS,0.2516210857672473
GAMLSS,0.051766365580185096
GAMLSS,0.09706013878351544
GAMLSS,0.06959255906916695
GAMLSS,0.12976684252785392
GAMLSS,0.06598327840757431
GAMLSS,-0.04095368259685213
GAMLSS,-0.14671035378956307
GAMLSS,0.013651227532284043
GAMLSS,0.2149530712139957
GAMLSS,0.09882900793560682
GAMLSS,-0.06844999303893086
GAMLSS,-0.05531796033647191
GAMLSS,0.11829503598432793
GAMLSS,0.07589935522996688
GAMLSS,0.30868899371806535
GAMLSS,0.14643202472830152
GAMLSS,0.07993209269061706
GAMLSS,0.3489187857273497
GAMLSS,-0.10147473709394988
GAMLSS,0.056313610210566085
GAMLSS,0.11165344510590866
GAMLSS,0.017703525583608992
GAMLSS,0.09849829179081394
GAMLSS,-0.017840298699660573
GAMLSS,-0.11266558623046062
GAMLSS,0.12193357056377291
GAMLSS,0.051197312325639635
GAMLSS,-0.0378437597516446
GAMLSS,0.3392526607586991
GAMLSS,0.00578865644300134
GAMLSS,0.1841905195304812
GAMLSS,0.2229578009478693
GAMLSS,-0.07901610369114677
GAMLSS,-0.1653220039962265
GAMLSS,0.16012173343722133
GAMLSS,0.18983117299265573
GAMLSS,0.16995576875961393
GAMLSS,-0.0007231492101081157
GAMLSS,0.1442615789811295
GAMLSS,0.01899471925217317
GAMLSS,0.08823300838714522
GAMLSS,0.016830905896766633
GAMLSS,-0.00966963308062247
GAMLSS,-0.06320677468687591
GAMLSS,0.14979604047202127
GAMLSS,0.006457865280342537
GAMLSS,0.2301441906219817
GAMLSS,0.16435269001583375
GAMLSS,0.05300644876263724
GAMLSS,0.06900834272490786
GAMLSS,0.019686320448973203
GAMLSS,0.18506337371131912
GAMLSS,0.29055026187819083
GAMLSS,-0.17712377346400798
GAMLSS,0.0941879705417464
GAMLSS,-0.17068171396387188
GAMLSS,-0.0663351103617829
GAMLSS,0.3470919581236505
GAMLSS,-0.019420386947004355
GAMLSS,0.10617448600406255
GAMLSS,0.07417354503058093
GAMLSS,0.06300684755206441
GAMLSS,-0.2739983259609044
GAMLSS,-0.037168820050889124
GAMLSS,0.0601284140351064
GAMLSS,0.11494417303559737
GAMLSS,-0.07529001174667753
GAMLSS,-0.014060444663030603
GAMLSS,0.07332711854824445
GAMLSS,0.1957095439941431
GAMLSS,-0.21658063321766488
GAMLSS,0.1412341669457166
GAMLSS,0.048914841187511646
GAMLSS,-0.15834321437564666
GAMLSS,0.08223287633586378
GAMLSS,0.10897006309271776
GAMLSS,0.23780336034919378
GAMLSS,-0.21053615417150529
GAMLSS,0.11111461537990533
GAMLSS,-0.051411038294800517
GAMLSS,0.032938342514974246
GAMLSS,0.24411515276209084
GAMLSS,0.0027008485158085526
GAMLSS,0.047409923777467784
GAMLSS,0.1056207084207463
GAMLSS,-0.2044481088308859
GAMLSS,0.06474595501276066
GAMLSS,-0.09330717228093723
GAMLSS,0.09348578966825605
GAMLSS,-0.01501604153818869
GAMLSS,0.13134942884024042
GAMLSS,0.036859492436036145
GAMLSS,-0.02250707096507127
GAMLSS,-0.0693724369328618
GAMLSS,0.17859510623218344
GAMLSS,0.11754827224146798
GAMLSS,-0.11640304707173015
GAMLSS,-0.19403580265904335
GAMLSS,0.03338395750492612
GAMLSS,0.015157580165778076
GAMLSS,0.10914239318722392
GAMLSS,0.16503226549040306
GAMLSS,0.032216518626220624
GAMLSS,0.19813785833175188
GAMLSS,0.44064186998204113
GAMLSS,0.15656180398840702
GAMLSS,0.16497223689418364
GAMLSS,0.09830909307290557
GAMLSS,-0.07069363432407556
GAMLSS,0.04528973871746995
GAMLSS,0.1234742165487146
GAMLSS,0.14715075291996768
GAMLSS,0.38080590390758745
GAMLSS,0.22672764854554417
GAMLSS,-0.02412390545072537
GAMLSS,0.23149676028658545
GAMLSS,-0.01524635492629248
GAMLSS,0.05165695857538973
GAMLSS,0.0004212513421261274
GAMLSS,0.006939452205997879
GAMLSS,-0.13139156474345343
GAMLSS,-0.2138447338469098
GAMLSS,0.1299220365577867
GAMLSS,0.28277841414698646
GAMLSS,-0.07049543887393102
GAMLSS,0.3098648082899082
GAMLSS,0.3278292831155194
GAMLSS,0.2504913662588181
GAMLSS,0.08622504819516691
GAMLSS,0.08269929757467019
GAMLSS,0.3395704829124856
GAMLSS,0.20028537191040158
GAMLSS,-0.10650593705128562
GAMLSS,0.2975159184795095
GAMLSS,-0.013208285081164032
GAMLSS,0.14569552101080468
GAMLSS,0.15416717081969972
GAMLSS,-0.2204888290803766
GAMLSS,0.045705770620684816
GAMLSS,0.3140428755550279
GAMLSS,0.09254648274375224
GAMLSS,-0.14632739802399386
GAMLSS,0.0777366671454829
GAMLSS,-0.011630184425216421
GAMLSS,0.311222265369259
GAMLSS,0.12183737681584313
GAMLSS,-0.06492969838691233
GAMLSS,0.22487391601074905
GAMLSS,0.047293958341070766
GAMLSS,0.22527281396141946
GAMLSS,0.11374798068959695
GAMLSS,0.26443756164236754
GAMLSS,0.04673925162275043
GAMLSS,0.09210899106224621
GAMLSS,0.0795372328226886
GAMLSS,0.04882686011007386
GAMLSS,-0.020251149033466115
GAMLSS,0.029698219619891983
GAMLSS,0.4026404910152329
GAMLSS,0.2879655471429839
GAMLSS,0.12149486441929404
GAMLSS,0.0002915736221007512
GAMLSS,0.049634340219810474
GAMLSS,0.2860878383649998
GAMLSS,0.18893078427251253
GAMLSS,-0.17441602013993596
GAMLSS,-0.06998321086200528
GAMLSS,0.3805622920343992
GAMLSS,0.41163915241034027
GAMLSS,0.1529194707283985
GAMLSS,0.16104038939497933
GAMLSS,-0.09063369040703576
GAMLSS,0.2060870779190316
GAMLSS,-0.14062135711701268
GAMLSS,0.13853424819466054
GAMLSS,-0.08692322672306302
GAMLSS,-0.08533886981233396
GAMLSS,0.048119199067364615
GAMLSS,-0.11283899175299074
GAMLSS,-0.058444892032564665
GAMLSS,-0.030968176046666556
GAMLSS,0.19127539398360255
GAMLSS,0.36717798802775536
GAMLSS,0.06884380480229262
GAMLSS,-0.1025403780049492
GAMLSS,0.15579622925541903
GAMLSS,0.0019350152533747613
GAMLSS,0.45517534628017087
GAMLSS,-0.2179603125376657
GAMLSS,0.10839868714843788
GAMLSS,0.07071278211235402
GAMLSS,-0.05914307056046076
GAMLSS,0.07751618971562096
GAMLSS,-0.07016694205355688
GAMLSS,0.21926627555484265
GAMLSS,0.10680536984591306
GAMLSS,0.03305324136013324
