"measure","region","cohort","n","mean_z","sd_z"
"area","rh_entorhinal_area","patient",442,0.140616343123762,1.31607347848988
"thickness","rh_entorhinal_thickness","patient",442,-0.314804526944442,1.14530393231739
"area","rh_frontalpole_area","patient",442,-0.173109518932033,1.49392913173018
"thickness","rh_frontalpole_thickness","patient",442,0.320127091465493,1.24011704516635
"area","rh_fusiform_area","patient",442,-0.0300618091723049,1.04869740980398
"thickness","rh_fusiform_thickness","patient",442,-0.0667085759221894,1.33736277334402
"area","rh_inferiorparietal_area","patient",442,-0.0804723155418086,1.1535967658946
"thickness","rh_inferiorparietal_thickness","patient",442,-0.474470848409827,1.24310450782818
"area","rh_inferiortemporal_area","patient",442,-0.369156459830259,1.25244050889029
"thickness","rh_inferiortemporal_thickness","patient",442,0.459872491960448,1.41400640322964
"area","rh_insula_area","patient",442,-0.0894489990611195,1.22495355527316
"thickness","rh_insula_thickness","patient",442,0.376434123066302,1.17187189968588
"area","rh_isthmuscingulate_area","patient",442,-0.127522716978554,1.28260938245479
"thickness","rh_isthmuscingulate_thickness","patient",442,-0.0377266934897192,1.40110070394043
"area","rh_lateraloccipital_area","patient",442,0.00318296934661945,1.16106486312673
"thickness","rh_lateraloccipital_thickness","patient",442,0.0412861345001624,1.12058535293605
"area","rh_lateralorbitofrontal_area","patient",442,-0.508599474113144,1.46952235641754
"thickness","rh_lateralorbitofrontal_thickness","patient",442,0.577160140561152,1.30426668081011
"area","rh_lingual_area","patient",442,0.0818073331292185,1.12922859551936
"thickness","rh_lingual_thickness","patient",442,0.010269216775094,1.30339967382375
"area","rh_medialorbitofrontal_area","patient",442,-0.345650492870331,1.18743705753351
"thickness","rh_medialorbitofrontal_thickness","patient",442,0.746661485169623,1.41513947314435
"area","rh_middletemporal_area","patient",442,-0.231227188850561,1.29410897937455
"thickness","rh_middletemporal_thickness","patient",442,0.606894660387024,1.13568687542723
"area","rh_paracentral_area","patient",442,0.0740853524331987,0.983917099494415
"thickness","rh_paracentral_thickness","patient",442,-0.863232088958642,1.18747568819421
"area","rh_parahippocampal_area","patient",442,-0.00472298848816774,1.19168529828494
"thickness","rh_parahippocampal_thickness","patient",442,-0.299476881409494,1.12759928638753
"area","rh_parsopercularis_area","patient",442,-0.0240907503118489,0.962029310543319
"thickness","rh_parsopercularis_thickness","patient",442,0.288925608471371,1.06501775416547
"area","rh_parsorbitalis_area","patient",442,-0.104610838051469,1.10688655377982
"thickness","rh_parsorbitalis_thickness","patient",442,0.466498949144972,1.12915187505779
"area","rh_parstriangularis_area","patient",442,0.109496016924938,1.08148510756951
"thickness","rh_parstriangularis_thickness","patient",442,0.597145775357461,1.06446226921414
"area","rh_pericalcarine_area","patient",442,-0.209557953636977,1.12326858504073
"thickness","rh_pericalcarine_thickness","patient",442,0.0605509208901738,1.38323417757923
