"algorithm","measure","region","n","mean_z","sd_z"
"MFP","thickness","rh_parsopercularis_thickness",100,0.00446911709748501,1.00421367827822
"MFP","area","rh_parsorbitalis_area",100,-0.00463435453311765,1.09236682769347
"MFP","thickness","rh_parsorbitalis_thickness",100,0.0021031039660406,0.980960284644472
"MFP","area","rh_parstriangularis_area",100,0.00077712124026152,0.955139463160404
"MFP","thickness","rh_parstriangularis_thickness",100,0.00548067745236465,1.04727290383949
"MFP","area","rh_pericalcarine_area",100,0.00789295789348117,1.10257380155422
"MFP","thickness","rh_pericalcarine_thickness",100,-0.00124779183749801,1.36949252790682
"MFP","area","rh_postcentral_area",100,0.00304001011964124,0.931751585277995
"MFP","thickness","rh_postcentral_thickness",100,0.00186954648144531,0.983793469380983
"MFP","area","rh_posteriorcingulate_area",100,-0.000663952176661305,0.997125422667088
"MFP","thickness","rh_posteriorcingulate_thickness",100,-0.000483219250874014,1.03935005589812
"MFP","area","rh_precentral_area",100,0.00431199555962792,0.919532219221092
"MFP","thickness","rh_precentral_thickness",100,-0.00131921437129618,1.02410682192452
"MFP","area","rh_precuneus_area",100,-0.00569015487232592,1.28427451560961
"MFP","thickness","rh_precuneus_thickness",100,0.00582351721321987,1.10039403980227
"MFP","area","rh_rostralanteriorcingulate_area",100,0.00150518303145636,0.85718828108677
"MFP","thickness","rh_rostralanteriorcingulate_thickness",100,0.00159057821881554,0.988709735829253
"MFP","area","rh_rostralmiddlefrontal_area",100,-2.00481663820302e-05,1.0205716992247
"MFP","thickness","rh_rostralmiddlefrontal_thickness",100,0.000746000766325157,1.37733852416211
"MFP","area","rh_superiorfrontal_area",100,-0.000220680387587604,1.02880282460183
"MFP","thickness","rh_superiorfrontal_thickness",100,0.00568660583632865,1.04158111687889
"MFP","area","rh_superiorparietal_area",100,-0.00520547436899641,1.20464017716733
"MFP","thickness","rh_superiorparietal_thickness",100,0.00350409961236828,0.983314048506424
"MFP","area","rh_superiortemporal_area",100,-0.00707210138708014,1.25663117886502
"MFP","thickness","rh_superiortemporal_thickness",100,0.00217949673912771,1.01710778845937
"MFP","area","rh_supramarginal_area",100,-0.00753377670736985,0.89757226330164
"MFP","thickness","rh_supramarginal_thickness",100,-0.00167138207628567,1.12062589449852
"MFP","area","rh_temporalpole_area",100,-0.00010801941673514,1.0449046352003
"MFP","thickness","rh_temporalpole_thickness",100,0.00148433851267114,0.862066613613415
"MFP","area","rh_transversetemporal_area",100,-0.00351939392233038,0.993825484247869
"MFP","thickness","rh_transversetemporal_thickness",100,-0.00260782525588871,1.03855715391465
"MFP","subcortical","Right-Accumbens-area",100,-0.00169033223707713,1.24169974766025
"MFP","subcortical","Right-Amygdala",100,1.94364563123757e-05,1.0969926410965
"MFP","subcortical","Right-Caudate",100,-0.00119008428019752,0.98615663334651
"MFP","subcortical","Right-Hippocampus",100,0.00219464129354512,1.15793578637088
"MFP","subcortical","Right-Pallidum",100,-0.00108358553983968,1.44866773568428
"MFP","subcortical","Right-Putamen",100,-0.00190296095775093,1.02418314874021
"MFP","subcortical","Right-Thalamus",100,0.00547826718087237,1.57988957295682
"GAMLSS","subcortical","Left-Accumbens-area",100,0.00170431766592842,1.27682800460033
"GAMLSS","subcortical","Left-Amygdala",100,0.000305161690124611,1.04115625147182
"GAMLSS","subcortical","Left-Caudate",100,-0.0013916522270632,0.976437649194616
"GAMLSS","subcortical","Left-Hippocampus",100,-0.00156110844784828,1.03081138979841
"GAMLSS","subcortical","Left-Pallidum",100,0.00314801982722702,1.13556231629327
"GAMLSS","subcortical","Left-Putamen",100,-4.3643794787398e-05,1.02046666715494
"GAMLSS","subcortical","Left-Thalamus",100,-0.000407274014662621,1.36430018661296
"GAMLSS","area","lh_bankssts_area",100,-0.00295731006549858,1.11696750738186
"GAMLSS","thickness","lh_bankssts_thickness",100,-0.00677929002190683,1.00090568203882
"GAMLSS","area","lh_caudalanteriorcingulate_area",100,-0.0034893203896544,1.15202663015112
"GAMLSS","thickness","lh_caudalanteriorcingulate_thickness",100,3.11759681451446e-05,1.01461619277509
"GAMLSS","area","lh_caudalmiddlefrontal_area",100,0.00201049217039434,0.951474196160896
"GAMLSS","thickness","lh_caudalmiddlefrontal_thickness",100,0.00126371975201947,0.940686030665943
"GAMLSS","area","lh_cuneus_area",100,0.00398846311207947,1.04842393838248
"GAMLSS","thickness","lh_cuneus_thickness",100,-0.000861065900901157,1.01725401095711
"GAMLSS","area","lh_entorhinal_area",100,-0.00125638555791451,1.15066324036859
"GAMLSS","thickness","lh_entorhinal_thickness",100,-0.003008030958749,1.08192748115832
"GAMLSS","area","lh_frontalpole_area",100,0.00410450115120078,1.09621223678838
"GAMLSS","thickness","lh_frontalpole_thickness",100,-0.00194331011014176,1.33237673834735
"GAMLSS","area","lh_fusiform_area",100,-0.00142177434876793,0.922474874514065
"GAMLSS","thickness","lh_fusiform_thickness",100,-0.00255416730802292,1.07238897172771
"GAMLSS","area","lh_inferiorparietal_area",100,0.00175595879325078,1.17594114083969
"GAMLSS","thickness","lh_inferiorparietal_thickness",100,-0.00414505754777183,1.10673505439227
"GAMLSS","area","lh_inferiortemporal_area",100,-0.00428269797026281,0.958371790482259
"GAMLSS","thickness","lh_inferiortemporal_thickness",100,-0.00385642782461823,1.01861928448375
"GAMLSS","area","lh_insula_area",100,0.0022651569865462,1.00513308427645
"GAMLSS","thickness","lh_insula_thickness",100,-0.00409438094567508,1.14944027238764
"GAMLSS","area","lh_isthmuscingulate_area",100,-0.000318843911362671,1.0538136421167
"GAMLSS","thickness","lh_isthmuscingulate_thickness",100,0.00162367730012163,1.05725409492856
"GAMLSS","area","lh_lateraloccipital_area",100,0.00494413208918138,1.03914131689225
"GAMLSS","thickness","lh_lateraloccipital_thickness",100,-0.00723037438136814,1.05144834594152
"GAMLSS","area","lh_lateralorbitofrontal_area",100,0.000844883249644366,1.57236738020132
"GAMLSS","thickness","lh_lateralorbitofrontal_thickness",100,-0.00347462127679105,1.38047712071518
"GAMLSS","area","lh_lingual_area",100,-0.000355938003726593,0.908495067297543
"GAMLSS","thickness","lh_lingual_thickness",100,-0.000848960881655601,1.2348384029099
"GAMLSS","area","lh_medialorbitofrontal_area",100,0.00193958723029577,1.18994321113145
"GAMLSS","thickness","lh_medialorbitofrontal_thickness",100,-0.000815517749477528,1.35164321186077
"GAMLSS","area","lh_middletemporal_area",100,-0.00243259280051666,0.989225129049969
"GAMLSS","thickness","lh_middletemporal_thickness",100,-0.00231537667669503,0.822079485977898
"GAMLSS","area","lh_paracentral_area",100,0.00234530175997869,1.0015967453883
"GAMLSS","thickness","lh_paracentral_thickness",100,-0.00469882568733008,1.12384094918565
"GAMLSS","area","lh_parahippocampal_area",100,-0.000665836466392137,0.924895599342019
"GAMLSS","thickness","lh_parahippocampal_thickness",100,-0.00229260159359897,1.0379521223802
"GAMLSS","area","lh_parsopercularis_area",100,0.000626029047316041,1.09787287006116
"GAMLSS","thickness","lh_parsopercularis_thickness",100,0.00545018690225481,1.02205051392094
"GAMLSS","area","lh_parsorbitalis_area",100,0.0025204046585386,1.1088476849923
