measure,region,GAMLSS,MFP,diff_SD
subcortical,Right-Accumbens-area,1.1208531401189519,1.1620459848236173,-0.04119284470466544
subcortical,Right-Amygdala,1.0073854853753805,1.0722321205353413,-0.06484663515996081
subcortical,Right-Caudate,0.9558568727870781,0.9488441943423592,0.007012678444718867
subcortical,Right-Hippocampus,1.0880265112577698,1.1262356568115484,-0.03820914555377852
subcortical,Right-Pallidum,1.307632897811006,1.4024963785828521,-0.09486348077184625
subcortical,Right-Putamen,1.029312060831283,1.0132069305917892,0.01610513023949367
subcortical,Right-Thalamus,1.3758929734497758,1.525467674694605,-0.1495747012448292
thickness,lh_bankssts_thickness,0.9739968445835206,0.9721110782100462,0.0018857663734744845
thickness,lh_caudalanteriorcingulate_thickness,1.0047437542027322,0.9664525625118018,0.038291191690930426
thickness,lh_caudalmiddlefrontal_thickness,0.929131581366338,0.8920153748113497,0.03711620655498826
thickness,lh_cuneus_thickness,0.986743646377697,1.043096552544093,-0.05635290616639599
thickness,lh_entorhinal_thickness,1.0707419146020618,1.0964697430650645,-0.0257278284630027
thickness,lh_frontalpole_thickness,1.2765581962073147,1.2187129340968594,0.057845262110455264
thickness,lh_fusiform_thickness,1.0481550846140044,1.143530056880513,-0.09537497226650848
thickness,lh_inferiorparietal_thickness,1.08094089739913,1.127035172948869,-0.046094275549739105
thickness,lh_inferiortemporal_thickness,0.9987804203878338,0.9714338351810449,0.027346585206788898
thickness,lh_insula_thickness,1.0963939126560713,1.0544351074009637,0.041958805255107645
thickness,lh_isthmuscingulate_thickness,1.0445615825290286,1.0315203517740343,0.013041230754994304
thickness,lh_lateraloccipital_thickness,1.0043943594952482,0.9661166125313718,0.038277746963876425
thickness,lh_lateralorbitofrontal_thickness,1.3393995645998784,1.4013213728218707,-0.061921808221992336
thickness,lh_lingual_thickness,1.22094818896902,1.3003214372990248,-0.07937324833000492
thickness,lh_medialorbitofrontal_thickness,1.298930841748726,1.286597261043332,0.01233358070539392
thickness,lh_middletemporal_thickness,0.8072831747705005,0.8693182402386885,-0.062035065468188044
thickness,lh_paracentral_thickness,1.1008958386409002,1.0931909555492851,0.0077048830916151
thickness,lh_parahippocampal_thickness,1.0227047626309855,0.9957791389461264,0.02692562368485918
thickness,lh_parsopercularis_thickness,0.997272495861734,1.031739020741105,-0.03446652487937096
thickness,lh_parsorbitalis_thickness,0.9546051342996512,0.9590325056335545,-0.004427371333903252
thickness,lh_parstriangularis_thickness,0.9190987380361881,0.8380969552379893,0.08100178279819881
thickness,lh_pericalcarine_thickness,1.1685138564781068,1.2625323908956056,-0.09401853441749886
thickness,lh_postcentral_thickness,0.9669653278626771,1.0383866903550387,-0.07142136249236164
thickness,lh_posteriorcingulate_thickness,0.9246966504035072,0.9385565309063431,-0.01385988050283582
thickness,lh_precentral_thickness,0.9258377270753064,1.116775362774373,-0.19093763569906663
thickness,lh_precuneus_thickness,0.8084366463426073,0.8402309627435948,-0.03179431640098751
thickness,lh_rostralanteriorcingulate_thickness,0.9855011514868515,0.9090005493352213,0.07650060215163013
thickness,lh_rostralmiddlefrontal_thickness,1.0810617060592256,1.0563649950708145,0.024696710988411086
thickness,lh_superiorfrontal_thickness,1.0393200715913986,0.9234123952102394,0.11590767638115917
thickness,lh_superiorparietal_thickness,0.9760973665491298,1.0002423719037234,-0.02414500535459363
